objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
"1,2376487040482E+018",201.618284934415,-0.290361262274966,19.00912,17.23706,16.31943,15.89727,15.5499,7.801998,3.310245,10.49664,0.9453135,0.9594008,-253.6328,-3831585,-17891.62,1.0,0.08008775,1.882096e-05,138.6761,7.369419,"5,87722982823297E+017",201.6182861328125,-0.2903597950935364,138,0.8500000238418579,125,0.025000000372529,0.0,1.0,0.2000000029802322,0.800000011920929,Elliptical
"1,23764870405109E+018",208.260782381129,-0.238441511254594,18.03477,17.08654,16.76294,16.56732,16.42024,3.527516,1.619407,4.286229,0.821218,0.8226584,-452.7982,-751.0438,-14371.35,0.6307797,0.03234868,5.786836e-06,56.69616,12.12278,"5,87722982826181E+017",208.2607879638672,-0.2384441941976547,151,0.8220000267028809,0.1330000013113021,0.0439999997615814,0.1669999957084655,0.8330000042915344,0.0,1.0,Elliptical
"1,23764870405895E+018",226.184086643809,-0.35196678889199,18.00268,16106,15.2095,14.7793,14.43735,8.906508,3.742355,12.04161,0.7071093,0.6649292,-474.2451,-11152.32,-55780.8,1.0,0.05476268,1.343784e-05,182.7069,5.472781,"5,87722982834045E+017",226.18408203125,-0.3519639372825622,145,0.8889999985694885,0.0890000015497207,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
"1,23764870406013E+018",228.851915325639,-0.34017349101393,19.43132,17.52564,16.49898,16.01826,15.64188,3.891875,1.634745,5.690849,0.8350579,0.7769234,-642.9079,-4909813,-15724.83,1.0,0.09954324,3.419682e-05,359.3131,11.47123,"5,87722982835225E+017",228.85191345214844,-0.3401797711849212,149,0.9350000023841858,0.0430000014603138,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
"1,2376487040602E+018",229.096257633863,-0.301431328386204,18.16483,16.24018,15.30426,14.86269,14.49888,9.632167,3.793074,12.31381,0.8095567,0.8873947,-345.2536,-10648.02,-53116.64,1.0,0.05090167,1.198064e-05,185.0843,5.081689,"5,8772298283529E+017",229.09625244140625,-0.3014369308948517,109,0.9139999747276306,0.0289999991655349,0.0570000000298023,0.0,1.0,1.0,0.0,Elliptical
"1,2376487040602E+018",229.097232195149,-0.281061475419799,19.38717,17.08355,16.18545,15.76851,15.43311,10.29093,4.389332,9.79617,0.7421034,0.731735,-1321263,-2622789,-17062.5,0.7294545,0.1216608,2.378368e-05,149.8806,12.11826,"5,87722982835291E+017",229.09722900390625,-0.2810677289962768,310,0.1220000013709068,0.878000020980835,0.0,0.6389999985694885,0.3610000014305115,0.972000002861023,0.0280000008642673,Spiral
"1,23764870406026E+018",229.122171593793,-0.401294491391947,19.19332,17.63256,16.9431,16.58013,16.27737,5.64346,2.699483,5.657979,0.7644387,0.7877405,-1365447,-167.8798,-15464.43,0.1190994,0.050802,1.54667e-05,50.51445,11.75288,"5,87722982835356E+017",229.12217712402344,-0.4012943506240845,204,0.8360000252723694,0.0979999974370002,0.0659999996423721,0.1669999957084655,0.8330000042915344,0.3330000042915344,0.6669999957084656,Elliptical
"1,23764870406144E+018",231.848558759915,-0.252109858782392,17.92732,16.10094,15.2147,14.76278,14.40327,5.147535,2.268726,7.064579,0.314017,0.3224199,-943.2927,-7798.81,-50125.92,0.9109025,0.03769721,1.067183e-05,171.7997,4.165607,"5,87722982836535E+017",231.8485565185547,-0.2521119117736816,169,0.0949999988079071,0.8809999823570251,0.0240000002086162,0.6669999957084656,0.3330000042915344,0.0,1.0,Irregular
"1,23764870406151E+018",232.101703126072,-0.23875662157421,18.23463,17.1647,16.70341,16.40346,16.20003,2.983902,1.390093,3.727398,0.8804474,0.8606848,-547.7579,-560.4985,-14884.12,0.605619,0.04989543,6.09626e-06,57.77673,10.60533,"5,87722982836601E+017",232.1016998291016,-0.2387591749429702,146,0.8889999985694885,0.0439999997615814,0.06700000166893,0.0,1.0,0.0,1.0,Elliptical
"1,23764870406157E+018",232.212734160821,-0.34535743616593,19.0356,17.61734,16.86319,16.44796,16.15911,2.79701,1.316382,3.490954,0.8737199,0.9112671,-146.8125,-607955,-11498.55,0.7519093,0.0859554,8.40253e-06,108.2019,7.864616,"5,87722982836667E+017",232.21273803710935,-0.3453580141067505,133,0.8600000143051147,0.0469999983906745,0.0930000022053718,0.0,1.0,0.5,0.5,Elliptical
