objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
1237648721768153189,181.181339124189,0.256959972903933,19.4666,17.53652,16.39697,15.95339,15.61715,8.493464,3.351309,10.83883,0.8577487,0.8715301,-202.1392,-3379.642,-15520.46,1.0,0.1579932,3.456918e-05,245.9173,13.70604,588848900450091105,181.18133544921875,0.2569592297077179,143,0.8410000205039978,0.1140000000596046,0.0450000017881393,0.0,1.0,0.0,1.0,Elliptical
1237648721768153234,181.257289313658,0.36339864057139,19.42961,17.47423,16.47305,16.05398,15.69512,4.33667,1.903039,5.758365,0.5089449,0.505348,-111.507,-2182.26,-15600.35,0.9911856,0.1018424,2.406046e-05,222.6584,10.01699,588848900450091157,181.2572784423828,0.3633967339992523,142,0.912999987602234,0.0649999976158142,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
1237648721768415368,181.786924536802,0.406420367823638,19.01916,17.30886,16.46382,16.0544,15.75863,4.917979,2.195192,6.47788,0.8592457,0.8245274,-65.63219,-2140.865,-15711.84,0.969054,0.09181108,1.537756e-05,157.5619,12.41822,588848900450353291,181.78692626953125,0.4064183235168457,172,0.8370000123977661,0.1430000066757202,0.0199999995529651,0.0,1.0,0.1669999957084655,0.8330000042915344,Elliptical
1237648720156623012,179.166882971491,-0.984444303990676,19.86198,17.56833,16.4575,16.00482,15.64223,7.627486,2.981164,9.203506,0.7668394,0.780927,-153.6323,-2632.533,-13423.3,1.0,0.1268452,2.196341e-05,261.1538,8.360879,588848898838560930,179.16688537597656,-0.9844527244567872,138,0.9020000100135804,0.0489999987185001,0.0489999987185001,0.0,1.0,0.0,1.0,Elliptical
1237648720156688532,179.276451558667,-0.977204616613808,18.01265,16.12985,15.223,14.81275,14.48419,8.543364,3.504376,11.6216,0.9315759,0.914485,-488.4661,-11881.97,-49047.84,1.0,0.07698749,1.151541e-05,222.087,5.62477,588848898838626344,179.27645874023438,-0.9771960973739624,171,0.8510000109672546,0.1490000039339065,0.0,0.0,1.0,0.0,1.0,Elliptical
1237648720693166121,178.405631649664,-0.600901681227733,18.21041,17.10015,16.46761,16.10159,15.86663,3.33911,1.539066,4.949558,0.675794,0.6659089,-370.0503,-3066.055,-14638.97,1.0,0.1260788,7.011634e-06,142.4746,8.115426,588848899375104042,178.40562438964844,-0.6009008288383484,274,0.135000005364418,0.8650000095367432,0.0,0.25,0.75,0.906000018119812,0.0939999967813491,Spiral
1237648720693559919,179.286116221401,-0.612906786638146,20.0375,17.9733,16.86278,16.40221,16.00694,4.025694,1.849417,5.587989,0.8313216,0.8408275,-23.77691,-951.4428,-9052.144,0.9370572,0.1308018,2.845201e-05,270.6162,10.16129,588848899375497413,179.28611755371094,-0.6128915548324585,137,0.9110000133514404,0.0439999997615814,0.0439999997615814,0.0,1.0,0.0,1.0,Elliptical
1237648720693624962,179.497026816642,-0.484043943685802,19.59906,17.62351,16.55051,16.11712,15.74296,8.493155,3.50475,10.6393,0.6985502,0.6949006,-110.0336,-2067.877,-11599.46,1.0,0.125779,2.225725e-05,189.8208,8.735999,588848899375562904,179.4970245361328,-0.4840457737445831,103,0.8059999942779541,0.1289999932050705,0.0649999976158142,0.0,1.0,0.0,1.0,Elliptical
1237648720693690377,179.541880151143,-0.540053517940717,19.91776,17.81027,16.72541,16.30199,15.92289,5.824152,2.408353,7.764275,0.9311888,0.8816253,-230.0757,-2713.907,-9762.907,1.0,0.1244486,1.896174e-05,227.3492,7.927741,588848899375628458,179.54188537597656,-0.5400604009628296,124,0.8840000033378601,0.0230000000447034,0.0930000022053718,0.0,1.0,0.0,1.0,Elliptical
1237648721230561471,179.586876675198,-0.0847505304450485,20.1311,17.96851,16.93082,16.4898,16.12794,4.660374,2.003829,6.027602,0.7491303,0.8138151,-26.3863,-1448.789,-9112.338,1.0,0.10595,2.266782e-05,174.5262,8.941967,588848899912499408,179.58688354492188,-0.0847589671611785,166,0.9350000023841858,0.0430000014603138,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
